1.20814311296648e-14+1.00000000000005i 1.20814311296648e-14+1.00000000000005i 1.20814311296648e-14+1.00000000000005i
0.0658117054163363+0.960976583308806i 0.100052355724448+0.980672419979614i 0.19049723522034+1.05724629430538i
0.101009355053123+0.944105177653592i 0.144639408166056+0.973620459347988i 0.206789228008094+1.00765499572079i
0.125214067804952+0.932287696814331i 0.127959318136064+0.974839129189312i 0.254088024287045+1.06094884797048i
0.145525234632521+0.925653127454082i 0.150810514731836+0.975729558862931i 0.300463713810317+1.07810535730546i
0.174928638452034+0.923635802309948i 0.169430453983958+0.976395215956605i 0.328107186542145+1.09989938277479i
0.191312546697272+0.914814123893759i 0.205775256101467+0.983619814468929i 0.258071075066812+1.13095970451278i
0.206919934924163+0.908170534259961i 0.221976988136792+0.984111623524492i 0.283922204579482+1.15888361217491i
0.221866566033024+0.903471470208576i 0.242331436003259+0.985770848303812i 0.287574637156861+1.17860224407208i
0.235734138766776+0.897370871396717i 0.257983943273613+0.986871002830015i 0.310862156341907+1.17993542621371i
0.248275440586918+0.893176471865454i 0.270804675528517+0.989302602837922i 0.292115480204664+1.21139482536164i
0.255912320239967+0.885996967332253i 0.286947674541938+0.991261144695081i 0.289040553399611+1.23125323599611i
0.291780506466903+0.883348839341098i 0.301911188858459+0.990726568777781i 0.293517844129485+1.24324730775366i
0.262950543405134+0.889608811354972i 0.305730464292673+0.996879077053666i 0.322230163945699+1.26007070359186i
0.283906768472032+0.875770952454332i 0.302900986436315+1.0034261937731i 0.330001478884357+1.27419892044707i
0.288312410967901+0.876206161842513i 0.313432560908322+1.00433934671291i 0.350544134756401+1.27934831637321i
0.288800416612136+0.878618960540511i 0.320271211746347+1.00173005587363i 0.365961306028347+1.29611100828911i
0.298646248888322+0.873678492581854i 0.328414660854881+1.00257021337693i 0.380415140791094+1.30616964853525i
0.309802595639848+0.87306836425741i 0.339589267673175+1.00278714182196i 0.389884564876853+1.31649938123014i
0.320007286327986+0.868636561452915i 0.349120032485022+1.00218300746582i 0.408817431877671+1.32073947807625i
0.329795922634071+0.862200848304295i 0.357539171558751+1.00216990725762i 0.413655763271579+1.33389452962278i
0.338756193583705+0.866096388691706i 0.366737639141763+1.00283641248271i 0.427925505753244+1.33946362074726i
0.349864137588941+0.856536423584572i 0.377096764512054+1.00321198313896i 0.435904555540014+1.34676416232373i
0.357333015655335+0.853435839412222i 0.386330717720142+1.00234552428914i 0.452144336591536+1.35554189045861i
0.368362680315957+0.84677080713309i 0.39558879803769+1.00234966788821i 0.458913784900579+1.36201882362606i
0.372712866840754+0.847923309140957i 0.406666934746649+1.00154062162527i 0.468533074520332+1.36747984454088i
0.385609941273297+0.843062089940012i 0.415092188301111+1.00159477796752i 0.480569405208497+1.37726394644564i
0.39148341483117+0.839389531036435i 0.423716434202278+1.00177016931885i 0.489896457673152+1.3835466358324i
0.399493838808622+0.83503192679528i 0.432131369492514+1.00182702121164i 0.498554639407855+1.39124304650906i
0.40736652521703+0.832551416358219i 0.440522357888337+1.00235946417638i 0.508618422453632+1.39806144854623i
0.415472806602377+0.830007701863576i 0.44802453260885+1.00215289196813i 0.517654243367942+1.40509402837892i
0.423129271188447+0.827627279512101i 0.456035165944565+1.00216206607631i 0.526530173606106+1.41232165264007i
0.43006185832741+0.824569775695358i 0.46405094401645+1.00285674584929i 0.534640892039271+1.41910804457106i
0.437315491893168+0.821985044832312i 0.471627484014782+1.00301520757111i 0.543294867846863+1.42556790881583i
0.444077446442431+0.819253399635421i 0.479091318848762+1.00360819171252i 0.552461799392151+1.43171866473932i
0.451129521116627+0.816855108624965i 0.486735292471945+1.00329723627231i 0.56077854459437+1.43824170379546i
0.458074145076441+0.814521372479017i 0.494199624621844+1.0035129599206i 0.569352925895901+1.44473195276279i
0.465012193111773+0.812053791730323i 0.501596981307409+1.00370879179823i 0.577424358234473+1.45063613917414i
0.471780115684309+0.809871774259083i 0.508444890058518+1.00377691845352i 0.585605603763031+1.45679259729473i
0.478503477403794+0.807521986791052i 0.515697111374446+1.00401429756105i 0.5935540438776+1.4628801801318i
0.485516497189503+0.805071883513312i 0.522865969476828+1.00412187451472i 0.60146900319444+1.46889516647953i
0.492475691268931+0.803020195168695i 0.529808117792841+1.00429308494028i 0.60927720249641+1.47480156512606i
0.499108389205466+0.801141700432215i 0.53674854071506+1.00439895680951i 0.616910659906468+1.48072951916237i
0.505122578774518+0.798455259668021i 0.543533882101576+1.00456601412212i 0.624718403911975+1.48637897610378i
0.511506367839122+0.796908722106205i 0.550277773884417+1.00472936749061i 0.632322548492655+1.49205898852223i
0.517739587273728+0.794765751795084i 0.556949251198974+1.00490116282638i 0.639799260930173+1.49775889358674i
0.524328546651349+0.792271162719362i 0.563576004353374+1.00510904425519i 0.64728163116114+1.50333033392108i
0.530633695699698+0.790221746259615i 0.570098750006417+1.0052540706199i 0.654656161803165+1.50892634000987i
0.536811218364834+0.787884151214011i 0.576579863580212+1.00543094387874i 0.661883747966379+1.51431188244226i
0.542900463112476+0.785837780137546i 0.583000656069246+1.00560737327518i 0.669101052481014+1.51974907915081i
0.548890571023979+0.784072199071544i 0.589323278728838+1.00596711578616i 0.676269110285109+1.52506430805853i
0.554881869869783+0.782042433094416i 0.595663401912471+1.00612665511951i 0.683337537777934+1.53041468693411i
0.560817705783878+0.780052488201142i 0.601949559745721+1.00627548696185i 0.690376177466291+1.53565883121037i
