2,1,0.5,0.1,0.25,0.75,1.5
-47.88929724055827 + 48.29448913737398i,-33.90662676692757 + 34.161598642560236i,-24.089071564835578 + 24.250581106307894i,-10.84622997518693 + 10.903108000500161i,-17.045558591954038 + 17.14905556620912i,-29.30474416730225 + 29.51602500360734i,-41.493204587538436 + 41.82734231686061i
-48.15081989834747 + 48.55427391656877i,-34.09135314204792 + 34.34526697292354i,-24.21913620354342 + 24.380002449923364i,-10.90419913081185 + 10.960871062182754i,-17.137541285661598 + 17.24063975414289i,-29.465066152636908 + 29.675478481866875i,-41.71959816067556 + 42.05232160780653i
-48.41093155792232 + 48.81267314614275i,-34.275084773349406 + 34.527955812026185i,-24.348506074163755 + 24.50873808662485i,-10.96185972269745 + 11.01832833039406i,-17.22903209488266 + 17.331737584781376i,-29.62452100418465 + 29.834077322037764i,-41.94477116645963 + 42.27610091383122i
-48.66965480533767 + 49.069708777621756i,-34.45783755561355 + 34.70968067852409i,-24.477192192873755 + 24.63679881317075i,-11.019216636236957 + 11.075484625573099i,-17.32003883138402 + 17.422356737393834i,-29.783122639301382 + 29.991835133319647i,-42.16874312929682 + 42.498699248356544i
-48.927011630570284 + 49.32540218869344i,-34.639626964842435 + 34.890456685361386i,-24.605205287774417 + 24.764195145747994i,-11.076274629110703 + 11.132344642613576i,-17.41056910226972 + 17.51250469108525i,-29.94088460703171 + 30.14876516731793i,-42.39153305865424 + 42.720135127713725i
-49.18302344930972 + 49.57977420399782i,-34.820468073543324 + 35.07029855447161i,-24.73255580932804 + 24.890937330079087i,-11.1330383359153 + 11.188912955399525i,-17.50063031741154 + 17.60218873202982i,-30.09782010161104 + 30.304880331066737i,-42.61315946787254 + 42.940426589155855i
-49.43771112373565 + 49.832845114959184i,-35.00037556530336 + 35.24922063080076i,-24.859253940314442 + 25.017035351065772i,-11.189512272579206 + 11.245194021132233i,-17.590229696536078 + 17.691415960371735i,-30.253941975338027 + 30.460193199448103i,-42.83364039210435 + 43.159591208039174i
-49.6910949823388 + 50.084634698712385i,-35.17936374869434 + 35.42723689569009i,-24.985309605332862 + 25.142498941994845i,NaN + NaN*i,-17.679374275987712 + 17.78019329681161i,-30.409262750852562 + 30.6147160270415i,-43.05299340542708 + 43.377646114220276i
-49.943194838838295 + 50.33516223617441i,-35.35744657054498 + 35.60436097965419i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,-30.56379463285296 + 30.768460759434955i,-43.27123563717662 + 43.59460800771205i
NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i
NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i
NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i
NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i
NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i,NaN + NaN*i
