2,1,0.5,0.1,0.25,0.75,1.5
-23.69119722096355 + 24.38678523277988i,-16.83037965019974 + 17.25884126628117i,-12.113817542947766 + 12.377663868756656i,-5.571443486447255 + 5.658974570438725i,-8.570102612579525 + 8.73599989464416i,-14.611994438335572 + 14.962996374803055i,-20.55313026795666 + 21.12183874882452i
-24.214525904999793 + 24.89890333403521i,-17.199047998577097 + 17.62093039523788i,-12.370433889732055 + 12.630521871339996i,-5.684451167477004 + 5.770913036801214i,-8.752040363806408 + 8.915676359105538i,-14.930663685585449 + 15.276394834394646i,-21.00569381497322 + 21.565409585455555i
-24.726831719547903 + 25.40061142679076i,-17.560001875475933 + 17.975656181156552i,-12.621834609272641 + 12.87835527086048i,-5.795206160728371 + 5.880649145653852i,-8.930251000834899 + 9.091738848307795i,-15.24268616562367 + 15.583424581816525i,-21.44874945537812 + 21.999959585981188i
-25.228782330585577 + 25.892521399953036i,-17.913705781550522 + 18.323451709129234i,-12.868325307530776 + 13.121453256889998i,-5.903838750538115 + 5.988309067357152i,-9.104954899674556 + 9.264398081873905i,-15.548460953843447 + 15.884460022554597i,-21.88287173920052 + 22.426019260471936i
-25.72098064749817 + 26.375187349181697i,-18.26057941651974 + 18.664709132583205i,-13.110182867552835 + 13.36007824752698i,-6.010467098988439 + 6.09400732197871i,-9.276351528406655 + 9.433845016683886i,-15.848348733733916 + 16.1798401883263i,-22.308579614652338 + 22.84406898697621i
-26.203973285791843 + 26.849112951024786i,-18.601003502947513 + 18.99978489899059i,-13.347659091917837 + 13.594469239769243i,-6.115198770282569 + 6.197848234855371i,-9.444622124397862 + 9.600253352606927i,-16.142676778236797 + 16.46987325451145i,-22.726343679067163 + 23.254545411032442i
-26.67825765920689 + 27.31475766857968i,-18.935324671617657 + 19.329004147140076i,-13.580983772073417 + 13.82484463890571i,-6.21813201687812 + 6.299927165957404i,-9.609931944789095 + 9.763781642201941i,-16.431743126706593 + 16.754840338128055i,-23.13659225788643 + 23.65784683073648i
-27.144287963100233 + 27.77254200747898i,-19.263859586916055 + 19.65266443115241i,-13.810367291048275 + 14.051404662703943i,-6.31935687198343 + 6.400331555216382i,-9.772432172833948 + 9.92457508060302i,-16.715820114196987 + 17.034998715143878i,-23.539716535167777 + 24.054337757385333i
-27.602480253822172 + 28.222851994138022i,-19.586898451885318 + 19.971038893177376i,-14.036002843410111 + 14.274333396023279i,-6.418956081875421 + 6.499141815404011i,-9.932261541159727 + 10.082767031822035i,-16.995157371231596 + 17.310584561654764i,-23.93607491041724 + 24.444352801008797i
-28.05321678558905 + 28.666043012558305i,-19.904708003265903 + 20.28437898142512i,-14.25806833908716 + 14.493800556075094i,-6.517005906891055 + 6.5964320999375525i,-10.089547721966868 + 10.238480337712016i,-17.269984388022625 + 17.581815302370593i,-24.32599671970973 + 24.828199999139006i
-28.49684973332898 + 29.10244310860546i,-20.21753408437984 + 20.592916790766388i,-14.476728044388999 + 14.709963016657035i,-6.613576812301159 + 6.692270965676581i,-10.244408523790689 + 10.391828446268272i,-17.540512718012298 + 17.8488916330933i,-24.7097854309005 + 25.2061636833897i
-28.93370440450702 + 29.532355849462952i,-20.525603866371586 + 20.896867088085774i,-14.692134003244712 + 14.922966130425262i,-6.708734067582408 + 6.786721948309593i,-10.39695292673608 + 10.542916388853484i,-17.806937880864908 + 18.111999270884308i,-25.08772140099972 + 25.57850695998915i
-29.364082023119636 + 29.956062809378956i,-20.829127774810885 + 21.196429072809877i,-14.904427273594983 + 15.132944880996858i,-6.802538267885084 + 6.879844063405894i,-10.547281982057314 + 10.691841630371625i,-18.0694410135503 + 18.371310475475745i,-25.460064266867125 + 25.945473866007433i
-29.78826215350438 + 30.37382573975695i,-21.128301168054616 + 21.491787913764977i,-15.113739007496106 + 15.340024890921546i,-6.895045790340055 + 6.971692245185604i,-10.695489597196456 + 10.838694812025585i,-18.328190309146517 + 18.62698537749772i,-25.827055027109544 + 26.30729125167225i
-30.20650481932353 + 30.785888471270685i,-21.42330580537075 + 21.783116096164143i,-15.320191398421946 + 15.544323306978187i,-6.940829861507134 + 7.017154757909022i,-10.841663223617047 + 10.983560402803695i,-18.58334227581056 + 18.879173142717622i,-26.18891786256724 + 26.664170430161494i
-30.6190523632993 + 31.192478587394486i,-21.71431113613801 + 22.07057460664582i,-15.523898515190018 + 15.745949580574386i,-7.031489820829586 + 7.107187050139604i,-10.985884461751425 + 11.126517273047378i,-18.835042842121233 + 19.128012995873004i,-26.545861734415002 + 27.016308629064017i
-31.02613108543771 + 31.59380890207135i,-22.0014754360687 + 22.354313979556792i,-15.72496703866631 + 15.945006158059666i,-7.120978103274729 + 7.19606730630951i,-11.1282295949525 + 11.267639201202302i,-19.083428326903512 + 19.373635120115942i,-26.898081792200934 + 27.36389027190915i
-31.42795269115407 + 31.990078768842626i,-22.28494681206946 + 22.634475223844856i,-15.923496914752212 + 16.141589093351705i,-7.209339180221704 + 7.283838926621791i,-11.268770062375687 + 11.406995323032481i,-19.328626317352455 + 19.616161473860387i,-27.24576061873648 + 27.707088113479138i
-31.824715575580814 + 32.38147524436742i,-22.56486409383585 + 22.911190646809857i,-16.119581934994585 + 16.335788593306795i,-7.29661477317837 + 7.370542644008745i,-11.407572879202679 + 11.544650531174652i,-19.570756415711568 + 19.855706484468826i,-27.589069334361035 + 28.046064248802086i
-32.21660596615044 + 32.76817412566031i,-22.84135762740287 + 23.184584588410285i,-16.313310254540873 + 16.527689504799934i,-7.382844086973258 + 7.4562167491546605i,-11.544701010665403 + 11.680665831054142i,-19.809930929456453 + 20.092377691849197i,-27.928168579519287 + 28.38097101259892i
-32.6037989421091 + 33.15034087741419i,-23.114549983513417 + 23.454774077722284i,-16.504764854582216 + 16.717371750038062i,-7.468064016605361 + 7.54089729016464i,-11.680213707351232 + 11.815098660262171i,-20.046255478582143 + 20.326276314998236i,-28.263209391648008 + 28.711951783386173i
-32.98645934678257 + 33.528131463324286i,-23.384556591719335 + 23.72186942141153i,-16.694023958744353 + 16.904910719016154i,-7.552309335180384 + 7.624618254143817i,-11.8141668045413 + 11.948003173857552i,-20.27982953983506 + 20.557497760392014i,-28.59433398994164 + 29.039141704309696i
-33.36474260606734 + 33.9016930932932i,-23.651486309514475 + 23.98597473263451i,-16.881161405686566 + 17.090377620968184i,-7.635612859605226 + 7.7074117272821585i,-11.946612991850134 + 12.079430501585838i,-20.51074693590268 + 20.78613207954981i,-28.921676479554172 + 29.362668331017012i
-33.73879546466438 + 34.27116489669673i,-23.915441934453643 + 24.247188407581344i,-17.066246985882604 + 17.27383980238673i,-7.718005602159152 + 7.789308041429184i,-12.077602055942315 + 12.209428979580956i,-20.739096272460145 + 21.012264378130585i,-29.245363485119753 + 29.682652215400317i
-34.10875664993742 + 34.63667853046536i,-24.17652066608586 + 24.505603555861818i,-17.24934674567221 + 17.455361034395462i,-7.799516906464916 + 7.870335905621482i,-12.20718109968661 + 12.338044359723037i,-20.964961341335176 + 21.235975194213598i,-29.565514722072898 + 29.999207432805576i
-34.47475747190547 + 34.99835872953585i,-24.4348145235843 + 24.761308390086363i,-17.430523262568013 + 17.635001773188485i,-7.88017457072603 + 7.950522525351906i,-12.335394740483814 + 12.46531999923162i,-21.188421473301677 + 21.457340829070493i,-29.882243513072304 + 30.312442059261908i
-34.83692236672082 + 35.356323806214306i,-24.69041072415735 + 25.014386579275076i,-17.609835895070717 + 17.81281939656024i,-7.960004959226456 + 8.029893710519618i,-12.46228529013729 + 12.591297032728862i,-21.409551865884143 + 21.67643365525167i,-30.1956572558402 + 30.62245860440524i
-35.19536939000497 + 35.71068610413142i,-24.943392026650194 + 25.26491757011854i,-17.787341009819286 + 17.988868419156407i,-8.03903310432634 + 8.108473974237999i,-12.587892918323181 + 12.716014528714897i,-21.6284238792344 + 21.89332239485393i,-30.505857847888596 + 30.92935440502474i
-35.550210665582426 + 36.06155241173896i,-25.193837044171616 + 25.512976879595605i,-17.963092188539896 + 18.16320068874073i,-8.117282798520984 + 8.186286622032299i,-12.712255801451855 + 12.8395096321481i,-21.845105300581945 + 22.108072368234733i,-30.81294207289067 + 31.23322198352456i
-35.901552794443596 + 36.40902433967093i,-25.441820529091775 + 25.75863636201003i,-18.137140416946608 + 18.335865565485907i,-8.1947766790036 + 8.263353833821231i,-12.835410258485247 + 12.96181769461013i,-22.05966059854056 + 22.32074573406944i,-31.11700195284691 + 31.534149375051275i
-36.2494972281611 + 36.75319866575729i,-25.687413633337588 + 26.001964453128462i,-18.309534257481285 + 18.50691008604997i,-8.271536304771846 + 8.339696738694162i,-12.957390875080776 + 13.08297239335246i,-22.272151136228178 + 22.531401689817326i,-31.41812506967555 + 31.832220426572277i
-36.59414061046403 + 37.09416765101732i,-25.930684146553034 + 26.243026393775924i,-18.480320007550823 + 18.676379113987796i,-8.347582227253614 + 8.415335483429676i,-13.07823061726508 + 13.203005840364405i,-22.482635383743023 + 22.740096672632244i,-31.716394859409913 + 32.1275150707912i
-36.93557509022676 + 37.43201932956255i,-26.171696714382204 + 26.481884434963344i,-18.649541844722734 + 18.844315477864054i,-8.422934055092087 + 8.490289295370651i,-13.197960935697314 + 13.321948682466644i,-22.587142868492382 + 22.84372591580245i,-32.01189088180153 + 32.42010957744111i
